id,domain,email_type,instruction,incoming_email,email,text
11,marketing,re-engagement,Write a re-engagement email to inactive users of DataPulse offering 15% off if they come back.,,"Subject: We miss you: 15% off to come back

Hi there,

It's been a while since you last used DataPulse, and we wanted to reach out.

A lot has changed since your last visit: we've made DataPulse faster, easier to use, and added features many of you asked for.

To welcome you back, here's 15% off your next three months. Just log in and the discount will be applied automatically.

If DataPulse is no longer right for you, we'd genuinely appreciate hearing why, so we can keep improving.

Thanks,
The DataPulse Team","### Instruction:
Write a re-engagement email to inactive users of DataPulse offering 15% off if they come back.

### Email:
Subject: We miss you: 15% off to come back

Hi there,

It's been a while since you last used DataPulse, and we wanted to reach out.

A lot has changed since your last visit: we've made DataPulse faster, easier to use, and added features many of you asked for.

To welcome you back, here's 15% off your next three months. Just log in and the discount will be applied automatically.

If DataPulse is no longer right for you, we'd genuinely appreciate hearing why, so we can keep improving.

Thanks,
The DataPulse Team
<|endoftext|>"
12,marketing,reply to partnership,Reply positively to Elena's partnership proposal and suggest next steps.,"Subject: Partnership opportunity

Hi Julia,

I'm Elena from Brightpath Analytics. We think our audiences overlap and would like to explore a co-marketing partnership, such as a joint webinar or guest articles. Would you be interested?

Best,
Elena Fischer","Subject: Re: Partnership opportunity

Hello Elena,

Thanks for reaching out, and great to hear from Brightpath Analytics. A co-marketing partnership sounds interesting, and I agree that our audiences have a lot in common.

A joint webinar could be a good place to start, since it lets us test the collaboration with a clear scope. Guest articles could follow if it goes well.

Would you be available for a 30-minute call next week to discuss goals, topics, and timelines? Feel free to suggest a time that works for you.

Cheers,
Julia","### Instruction:
Reply positively to Elena's partnership proposal and suggest next steps.

### Incoming email:
Subject: Partnership opportunity

Hi Julia,

I'm Elena from Brightpath Analytics. We think our audiences overlap and would like to explore a co-marketing partnership, such as a joint webinar or guest articles. Would you be interested?

Best,
Elena Fischer

### Email:
Subject: Re: Partnership opportunity

Hello Elena,

Thanks for reaching out, and great to hear from Brightpath Analytics. A co-marketing partnership sounds interesting, and I agree that our audiences have a lot in common.

A joint webinar could be a good place to start, since it lets us test the collaboration with a clear scope. Guest articles could follow if it goes well.

Would you be available for a 30-minute call next week to discuss goals, topics, and timelines? Feel free to suggest a time that works for you.

Cheers,
Julia
<|endoftext|>"
13,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Jonas Weber at Arcturus Software, introducing TaskFlow.",,"Subject: Helping Arcturus Software launch campaigns faster

Hello Jonas,

I'm Chiara from Orbita Media. I noticed that Arcturus Software has been growing quickly, and I thought TaskFlow might be relevant for your team.

TaskFlow helps companies like yours launch campaigns faster. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Best regards,
Chiara Costa
Account Executive, Orbita Media","### Instruction:
Write a short, polite B2B cold outreach email to Jonas Weber at Arcturus Software, introducing TaskFlow.

### Email:
Subject: Helping Arcturus Software launch campaigns faster

Hello Jonas,

I'm Chiara from Orbita Media. I noticed that Arcturus Software has been growing quickly, and I thought TaskFlow might be relevant for your team.

TaskFlow helps companies like yours launch campaigns faster. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Best regards,
Chiara Costa
Account Executive, Orbita Media
<|endoftext|>"
14,marketing,webinar invitation,"Write an email inviting IT decision-makers to a free webinar on using data to make better business decisions on Tuesday, 26 January at 16:00 CET, presented by Ravi Kowalski.",,"Subject: Free webinar: using data to make better business decisions

Hello,

Join us for a free live webinar on using data to make better business decisions.

Date: Tuesday, 26 January
Time: 16:00 CET
Speaker: Ravi Kowalski

In 45 minutes, you'll learn practical strategies that IT decision-makers can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Anna Weber
Growth Lead, Orbita Media","### Instruction:
Write an email inviting IT decision-makers to a free webinar on using data to make better business decisions on Tuesday, 26 January at 16:00 CET, presented by Ravi Kowalski.

### Email:
Subject: Free webinar: using data to make better business decisions

Hello,

Join us for a free live webinar on using data to make better business decisions.

Date: Tuesday, 26 January
Time: 16:00 CET
Speaker: Ravi Kowalski

In 45 minutes, you'll learn practical strategies that IT decision-makers can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Anna Weber
Growth Lead, Orbita Media
<|endoftext|>"
15,computer science,reply to question,Reply to the following email from Priya answering the question.,"Subject: Question

Hi Clara,

Could you tell me whether we should use REST or GraphQL for the new client?

Thanks,
Priya","Subject: Re: Question

Hi Priya,

Good question. For this client I'd lean toward REST, since the data needs are simple and our existing tooling, caching, and monitoring are built around it. GraphQL would make more sense if the client needed flexible queries across many related resources.

Let me know if anything is unclear or if you need more details.

Cheers,
Clara","### Instruction:
Reply to the following email from Priya answering the question.

### Incoming email:
Subject: Question

Hi Clara,

Could you tell me whether we should use REST or GraphQL for the new client?

Thanks,
Priya

### Email:
Subject: Re: Question

Hi Priya,

Good question. For this client I'd lean toward REST, since the data needs are simple and our existing tooling, caching, and monitoring are built around it. GraphQL would make more sense if the client needed flexible queries across many related resources.

Let me know if anything is unclear or if you need more details.

Cheers,
Clara
<|endoftext|>"
16,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Aino Nieminen at Kivi Labs, introducing SyncBoard.",,"Subject: Helping Kivi Labs reduce errors in their billing process

Dear Aino,

I'm Inés from Orbita Media. I noticed that Kivi Labs has been growing quickly, and I thought SyncBoard might be relevant for your team.

SyncBoard helps companies like yours reduce errors in their billing process. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Inés Costa
Account Executive, Orbita Media","### Instruction:
Write a short, polite B2B cold outreach email to Aino Nieminen at Kivi Labs, introducing SyncBoard.

### Email:
Subject: Helping Kivi Labs reduce errors in their billing process

Dear Aino,

I'm Inés from Orbita Media. I noticed that Kivi Labs has been growing quickly, and I thought SyncBoard might be relevant for your team.

SyncBoard helps companies like yours reduce errors in their billing process. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Inés Costa
Account Executive, Orbita Media
<|endoftext|>"
17,marketing,reply to partnership,Reply positively to Leila's partnership proposal and suggest next steps.,"Subject: Partnership opportunity

Hi Oskar,

I'm Leila from Orbita Media. We think our audiences overlap and would like to explore a co-marketing partnership, such as a joint webinar or guest articles. Would you be interested?

Best,
Leila Costa","Subject: Re: Partnership opportunity

Hey Leila,

Thanks for reaching out, and great to hear from Orbita Media. A co-marketing partnership sounds interesting, and I agree that our audiences have a lot in common.

A joint webinar could be a good place to start, since it lets us test the collaboration with a clear scope. Guest articles could follow if it goes well.

Would you be available for a 30-minute call next week to discuss goals, topics, and timelines? Feel free to suggest a time that works for you.

Best,
Oskar","### Instruction:
Reply positively to Leila's partnership proposal and suggest next steps.

### Incoming email:
Subject: Partnership opportunity

Hi Oskar,

I'm Leila from Orbita Media. We think our audiences overlap and would like to explore a co-marketing partnership, such as a joint webinar or guest articles. Would you be interested?

Best,
Leila Costa

### Email:
Subject: Re: Partnership opportunity

Hey Leila,

Thanks for reaching out, and great to hear from Orbita Media. A co-marketing partnership sounds interesting, and I agree that our audiences have a lot in common.

A joint webinar could be a good place to start, since it lets us test the collaboration with a clear scope. Guest articles could follow if it goes well.

Would you be available for a 30-minute call next week to discuss goals, topics, and timelines? Feel free to suggest a time that works for you.

Best,
Oskar
<|endoftext|>"
18,marketing,product launch,"Write a product launch marketing email for PayStream, aimed at HR managers, highlighting that it helps them reduce errors in their billing process and offering a 10% launch discount.",,"Subject: PayStream is here

Hello,

We're excited to introduce PayStream, a new tool built for HR managers who want to reduce errors in their billing process.

With PayStream, you can:
- set up your workspace in minutes, with no technical skills required
- connect the tools you already use
- see results from the very first week

To celebrate the launch, we're offering 10% off your first year for customers who sign up before the end of the month.

Start your free trial today and see how much time you can save.

Best regards,
Jonas López
Social Media Manager, Kivi Labs","### Instruction:
Write a product launch marketing email for PayStream, aimed at HR managers, highlighting that it helps them reduce errors in their billing process and offering a 10% launch discount.

### Email:
Subject: PayStream is here

Hello,

We're excited to introduce PayStream, a new tool built for HR managers who want to reduce errors in their billing process.

With PayStream, you can:
- set up your workspace in minutes, with no technical skills required
- connect the tools you already use
- see results from the very first week

To celebrate the launch, we're offering 10% off your first year for customers who sign up before the end of the month.

Start your free trial today and see how much time you can save.

Best regards,
Jonas López
Social Media Manager, Kivi Labs
<|endoftext|>"
19,marketing,webinar invitation,"Write an email inviting university students to a free webinar on growing your customer base with email marketing on Thursday, 22 May at 15:30 CET, presented by Irene Moreau.",,"Subject: Free webinar: growing your customer base with email marketing

Hello,

Join us for a free live webinar on growing your customer base with email marketing.

Date: Thursday, 22 May
Time: 15:30 CET
Speaker: Irene Moreau

In 45 minutes, you'll learn practical strategies that university students can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Oskar Novak
Product Marketing Manager, Lumen Retail","### Instruction:
Write an email inviting university students to a free webinar on growing your customer base with email marketing on Thursday, 22 May at 15:30 CET, presented by Irene Moreau.

### Email:
Subject: Free webinar: growing your customer base with email marketing

Hello,

Join us for a free live webinar on growing your customer base with email marketing.

Date: Thursday, 22 May
Time: 15:30 CET
Speaker: Irene Moreau

In 45 minutes, you'll learn practical strategies that university students can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Oskar Novak
Product Marketing Manager, Lumen Retail
<|endoftext|>"
20,computer science,reply to question,Reply to the following email from Sofia answering the question.,"Subject: Question

Hi Chiara,

Could you tell me when the notification service will support the new API version?

Thanks,
Sofia","Subject: Re: Question

Hi Sofia,

Good question. We plan to support the new API version in the next release, scheduled in about three weeks. Both versions will run in parallel for at least two months so clients have time to migrate.

Let me know if anything is unclear or if you need more details.

Thanks,
Chiara","### Instruction:
Reply to the following email from Sofia answering the question.

### Incoming email:
Subject: Question

Hi Chiara,

Could you tell me when the notification service will support the new API version?

Thanks,
Sofia

### Email:
Subject: Re: Question

Hi Sofia,

Good question. We plan to support the new API version in the next release, scheduled in about three weeks. Both versions will run in parallel for at least two months so clients have time to migrate.

Let me know if anything is unclear or if you need more details.

Thanks,
Chiara
<|endoftext|>"
21,computer science,security notice,Write an email to developers asking them to update dependencies after a vulnerability was disclosed in an XML parser.,,"Subject: Action required: vulnerability in an XML parser

Dear developers,

A security vulnerability has been disclosed in an XML parser that several of our services depend on. The issue could allow an attacker to execute unexpected code under certain conditions.

Please take the following steps by the end of Monday:
1. Check whether your service uses the affected library, directly or as a transitive dependency.
2. Update it to the patched version listed in the security ticket.
3. Run the test suite and deploy the change through the normal release process.

The security team has already scanned our repositories, and the list of affected services is attached to the ticket. If you are unsure whether your service is affected, contact the security team and we will help you verify it.

Sincerely,
Jonas Silva
Security Engineer, Kivi Labs","### Instruction:
Write an email to developers asking them to update dependencies after a vulnerability was disclosed in an XML parser.

### Email:
Subject: Action required: vulnerability in an XML parser

Dear developers,

A security vulnerability has been disclosed in an XML parser that several of our services depend on. The issue could allow an attacker to execute unexpected code under certain conditions.

Please take the following steps by the end of Monday:
1. Check whether your service uses the affected library, directly or as a transitive dependency.
2. Update it to the patched version listed in the security ticket.
3. Run the test suite and deploy the change through the normal release process.

The security team has already scanned our repositories, and the list of affected services is attached to the ticket. If you are unsure whether your service is affected, contact the security team and we will help you verify it.

Sincerely,
Jonas Silva
Security Engineer, Kivi Labs
<|endoftext|>"
22,marketing,webinar invitation,"Write an email inviting small business owners to a free webinar on building a content strategy that converts on Wednesday, 23 November at 13:00 CET, presented by Julia Nieminen.",,"Subject: Free webinar: building a content strategy that converts

Hello,

Join us for a free live webinar on building a content strategy that converts.

Date: Wednesday, 23 November
Time: 13:00 CET
Speaker: Julia Nieminen

In 45 minutes, you'll learn practical strategies that small business owners can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Sincerely,
Aino Bianchi
Growth Lead, Orbita Media","### Instruction:
Write an email inviting small business owners to a free webinar on building a content strategy that converts on Wednesday, 23 November at 13:00 CET, presented by Julia Nieminen.

### Email:
Subject: Free webinar: building a content strategy that converts

Hello,

Join us for a free live webinar on building a content strategy that converts.

Date: Wednesday, 23 November
Time: 13:00 CET
Speaker: Julia Nieminen

In 45 minutes, you'll learn practical strategies that small business owners can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Sincerely,
Aino Bianchi
Growth Lead, Orbita Media
<|endoftext|>"
23,marketing,re-engagement,Write a re-engagement email to inactive users of PayStream offering 20% off if they come back.,,"Subject: We miss you: 20% off to come back

Hi there,

It's been a while since you last used PayStream, and we wanted to reach out.

A lot has changed since your last visit: we've made PayStream faster, easier to use, and added features many of you asked for.

To welcome you back, here's 20% off your next three months. Just log in and the discount will be applied automatically.

If PayStream is no longer right for you, we'd genuinely appreciate hearing why, so we can keep improving.

Best regards,
The PayStream Team","### Instruction:
Write a re-engagement email to inactive users of PayStream offering 20% off if they come back.

### Email:
Subject: We miss you: 20% off to come back

Hi there,

It's been a while since you last used PayStream, and we wanted to reach out.

A lot has changed since your last visit: we've made PayStream faster, easier to use, and added features many of you asked for.

To welcome you back, here's 20% off your next three months. Just log in and the discount will be applied automatically.

If PayStream is no longer right for you, we'd genuinely appreciate hearing why, so we can keep improving.

Best regards,
The PayStream Team
<|endoftext|>"
24,computer science,bug report,"Write an email to Leila, a colleague, reporting a bug in the search service (version 2.6.6): incorrect time zone handling in scheduled jobs.",,"Subject: Bug in search service 2.6.6

Hi Leila,

Quick heads-up: there is a bug in version 2.6.6 of the search service. It turns out to be incorrect time zone handling in scheduled jobs.

Steps to reproduce, logs, and a short analysis are in the ticket. I suspect the problem was introduced in the latest release, so a rollback might be a reasonable short-term option.

Would you be able to review it today? I'm happy to pair on the fix if that helps.

Cheers,
Mikko","### Instruction:
Write an email to Leila, a colleague, reporting a bug in the search service (version 2.6.6): incorrect time zone handling in scheduled jobs.

### Email:
Subject: Bug in search service 2.6.6

Hi Leila,

Quick heads-up: there is a bug in version 2.6.6 of the search service. It turns out to be incorrect time zone handling in scheduled jobs.

Steps to reproduce, logs, and a short analysis are in the ticket. I suspect the problem was introduced in the latest release, so a rollback might be a reasonable short-term option.

Would you be able to review it today? I'm happy to pair on the fix if that helps.

Cheers,
Mikko
<|endoftext|>"
25,marketing,newsletter,"Write a monthly customer newsletter email for DataPulse for March, announcing a new dashboard layout and improved search.",,"Subject: DataPulse March update: a new dashboard layout and more

Hi there,

Here's what's new in DataPulse this March.

New: A new dashboard layout
Based on your feedback, we've released a new dashboard layout. It's available to all users starting today.

Improved: Improved search
We've also added improved search, making your daily work smoother.

From the blog
Read our latest guide with practical tips on getting more value from DataPulse.

As always, we'd love to hear from you. Just reply to this email with your ideas or questions.

Best regards,
The DataPulse Team","### Instruction:
Write a monthly customer newsletter email for DataPulse for March, announcing a new dashboard layout and improved search.

### Email:
Subject: DataPulse March update: a new dashboard layout and more

Hi there,

Here's what's new in DataPulse this March.

New: A new dashboard layout
Based on your feedback, we've released a new dashboard layout. It's available to all users starting today.

Improved: Improved search
We've also added improved search, making your daily work smoother.

From the blog
Read our latest guide with practical tips on getting more value from DataPulse.

As always, we'd love to hear from you. Just reply to this email with your ideas or questions.

Best regards,
The DataPulse Team
<|endoftext|>"
26,marketing,follow-up,Write a brief follow-up email to Pablo after sending a proposal for DataPulse last week with no reply.,,"Subject: Following up on the DataPulse proposal

Dear Pablo,

I wanted to follow up on the proposal for DataPulse that I sent last week. I know things get busy, so I'm simply checking whether you had a chance to review it.

If you have any questions about pricing, implementation, or timelines, I'd be happy to answer them. I can also adjust the proposal if your priorities have changed.

Would a short call on Thursday be helpful?

Best regards,
Julia García
Account Manager, Vertex Logistics","### Instruction:
Write a brief follow-up email to Pablo after sending a proposal for DataPulse last week with no reply.

### Email:
Subject: Following up on the DataPulse proposal

Dear Pablo,

I wanted to follow up on the proposal for DataPulse that I sent last week. I know things get busy, so I'm simply checking whether you had a chance to review it.

If you have any questions about pricing, implementation, or timelines, I'd be happy to answer them. I can also adjust the proposal if your priorities have changed.

Would a short call on Thursday be helpful?

Best regards,
Julia García
Account Manager, Vertex Logistics
<|endoftext|>"
