id,category,sentence
74,comparative,"Ursus maritimus excretes nitrogen mainly as urea, whereas Mytilus edulis excretes it mainly as ammonia."
75,concepts,"From a zoological perspective, echolocation involves emitting sounds and interpreting the returning echoes to locate objects."
76,ecology,"In terms of trophic ecology, Hydra viridissima is a carnivore."
77,traits,A notable feature of the western honey bee is that workers communicate the direction and distance of food sources through the waggle dance.
78,comparative,"Unlike Schmidtea mediterranea, which is ectothermic, Aptenodytes forsteri is endothermic."
79,comparative,"Struthio camelus is endothermic, whereas Homarus americanus is ectothermic."
80,comparative,"Mus musculus excretes nitrogen mainly as urea, whereas Asterias rubens excretes it mainly as ammonia."
81,comparative,"Lumbricus terrestris exchanges gases through the moist body surface, whereas Varanus komodoensis uses lungs."
82,comparative,"Unlike Strongylocentrotus purpuratus, which excretes ammonia, Tyto alba excretes uric acid."
83,comparative,"Myotis lucifugus is an insectivore, whereas Mus musculus is an omnivore."
84,concepts,Gastrulation is the developmental process that establishes the germ layers.
85,comparative,"Unlike Apis mellifera, whose circulatory system is open, Rhinella marina has a circulatory system that is closed."
86,comparative,"Unlike Hypsibius exemplaris, which is a herbivore, Tursiops truncatus is a carnivore."
87,comparative,"Unlike Rhinella marina, whose circulatory system is closed, Mytilus edulis has a circulatory system that is open."
88,comparative,"While Homarus americanus is a scavenger and predator, Mus musculus is an omnivore."
89,comparative,"Unlike Aurelia aurita, which respires through diffusion across the body surface, Danaus plexippus respires through a tracheal system."
90,comparative,"Hydra viridissima is ectothermic, whereas Osphranter rufus is endothermic."
91,comparative,"Although Hirudo medicinalis and Lumbricus terrestris share the class Clitellata, they are placed in different orders, Arhynchobdellida and Crassiclitellata."
92,concepts,"In animal biology, arthropods are the most species-rich animal phylum."
93,comparative,"Asterias rubens excretes nitrogen mainly as ammonia, whereas Apis mellifera excretes it mainly as uric acid."
94,comparative,"In contrast to the endothermic Giraffa camelopardalis, Schmidtea mediterranea is ectothermic."
95,comparative,"Unlike Latrodectus mactans, whose circulatory system is open, Ophiophagus hannah has a circulatory system that is closed."
96,concepts,"As a general principle, acoelomate animals lack a body cavity between the gut and the body wall."
97,comparative,"Ophiophagus hannah is a carnivore, whereas Osphranter rufus is a herbivore."
98,comparative,"Unlike Tursiops truncatus, which excretes urea, Acropora cervicornis excretes ammonia."
99,comparative,"Architeuthis dux belongs to the phylum Mollusca, while Gallus gallus belongs to the phylum Chordata."
100,physiology,Pan troglodytes eliminates nitrogen primarily as urea.
101,comparative,"Unlike Salmo salar, which respires through gills, Varanus komodoensis respires through lungs."
102,comparative,"Unlike Asterias rubens, whose circulatory system is a water vascular system and a reduced hemal system, Ursus maritimus has a circulatory system that is closed."
103,concepts,"All chordates possess a notochord, a dorsal hollow nerve cord, pharyngeal slits, and a post-anal tail at some stage of development."
104,concepts,"From a zoological perspective, electroreception allows some aquatic animals to detect weak electric fields generated by other organisms."
105,taxonomy,The sea lamprey is a jawless vertebrate.
106,comparative,"Asterias rubens has a circulatory system that is a water vascular system and a reduced hemal system, whereas that of Falco peregrinus is closed."
107,comparative,"Canis lupus excretes nitrogen mainly as urea, whereas Crocodylus niloticus excretes it mainly as ammonia and uric acid."
108,comparative,"Loxodonta africana exchanges gases through lungs, whereas Lumbricus terrestris uses the moist body surface."
109,comparative,"Schmidtea mediterranea belongs to the phylum Platyhelminthes, while Tyto alba belongs to the phylum Chordata."
110,comparative,"Rhinella marina excretes nitrogen mainly as urea as an adult, whereas Ambystoma mexicanum excretes it mainly as ammonia and urea."
111,comparative,"Octopus vulgaris excretes nitrogen mainly as ammonia, whereas Apis mellifera excretes it mainly as uric acid."
112,comparative,"Unlike Lithobates catesbeianus, which is ectothermic, Panthera leo is endothermic."
113,comparative,"Unlike Hydra viridissima, which is ectothermic, Struthio camelus is endothermic."
114,comparative,"Osphranter rufus excretes nitrogen mainly as urea, whereas Lithobates catesbeianus excretes it mainly as urea as an adult and ammonia as a larva."
115,comparative,"Hippocampus abdominalis has bilateral symmetry, whereas Acropora cervicornis has radial symmetry."
116,physiology,The main nitrogenous waste excreted by the freshwater planarian is ammonia.
117,comparative,"Osphranter rufus excretes nitrogen mainly as urea, whereas Petromyzon marinus excretes it mainly as ammonia."
118,comparative,"Euplectella aspergillum excretes nitrogen mainly as ammonia, whereas Ambystoma mexicanum excretes it mainly as ammonia and urea."
119,comparative,"Apis mellifera exchanges gases through a tracheal system, whereas Ursus maritimus uses lungs."
120,comparative,"Unlike Falco peregrinus, which respires through lungs with air sacs, Loxodonta africana respires through lungs."
121,comparative,"While Euplectella aspergillum is a filter feeder, Falco peregrinus is a carnivore."
122,taxonomy,Panthera leo is placed in the order Carnivora.
123,comparative,"While Strongylocentrotus purpuratus is a herbivore, Archilochus colubris is a nectarivore."
124,comparative,"Archilochus colubris is endothermic, whereas Rhinella marina is ectothermic."
125,comparative,"Mus musculus exchanges gases through lungs, whereas Carcharodon carcharias uses gills."
126,comparative,"Unlike Aurelia aurita, which respires through diffusion across the body surface, Pan troglodytes respires through lungs."
127,comparative,"Unlike Ambystoma mexicanum, which is a carnivore, Schistocerca gregaria is a herbivore."
128,comparative,"Crocodylus niloticus excretes nitrogen mainly as ammonia and uric acid, whereas Danio rerio excretes it mainly as ammonia."
129,comparative,"Latrodectus mactans is ectothermic, whereas Canis lupus is endothermic."
130,comparative,"While Mytilus edulis is a suspension feeder, Tursiops truncatus is a carnivore."
131,comparative,"Unlike Schistocerca gregaria, which is a herbivore, Balaenoptera musculus is a filter-feeding carnivore."
132,taxonomy,"The green iguana is a vertebrate, possessing a vertebral column or its cartilaginous equivalent."
133,comparative,"While Petromyzon marinus is a parasite, Salmo salar is a carnivore."
134,comparative,"In contrast to the ectothermic Iguana iguana, Balaenoptera musculus is endothermic."
135,comparative,"Varanus komodoensis excretes nitrogen mainly as uric acid, whereas Architeuthis dux excretes it mainly as ammonia."
136,comparative,"Unlike Caenorhabditis elegans, which excretes ammonia, Loxodonta africana excretes urea."
137,comparative,"While Gallus gallus is an omnivore, Mytilus edulis is a suspension feeder."
138,comparative,"Petromyzon marinus exchanges gases through gills, whereas Canis lupus uses lungs."
139,comparative,"In contrast to the endothermic Ornithorhynchus anatinus, Petromyzon marinus is ectothermic."
140,comparative,"Euplectella aspergillum is a filter feeder, whereas Apis mellifera is a herbivore."
141,concepts,"From a zoological perspective, endothermic animals generate most of their body heat through metabolic processes."
142,taxonomy,"The zebrafish is a vertebrate, possessing a vertebral column or its cartilaginous equivalent."
143,comparative,"Strongylocentrotus purpuratus is a herbivore, whereas Gallus gallus is an omnivore."
144,comparative,"Balaenoptera musculus exchanges gases through lungs, whereas Strongylocentrotus purpuratus uses tube feet and peristomial gills."
145,concepts,Jawless vertebrates use variable lymphocyte receptors rather than antibodies for adaptive immunity.
146,comparative,"Carcharodon carcharias is a carnivore, whereas Loxodonta africana is a herbivore."
147,comparative,"Drosophila melanogaster exchanges gases through a tracheal system, whereas Crocodylus niloticus uses lungs."
148,comparative,Apis mellifera and Schistocerca gregaria both belong to the class Insecta.
149,comparative,"Unlike Ursus maritimus, which respires through lungs, Lithobates catesbeianus respires through lungs, skin, and buccal lining."
150,comparative,"Aurelia aurita excretes nitrogen mainly as ammonia, whereas Falco peregrinus excretes it mainly as uric acid."
151,comparative,"Unlike Panthera leo, which respires through lungs, Falco peregrinus respires through lungs with air sacs."
152,comparative,"Tyto alba is a carnivore, whereas Mytilus edulis is a suspension feeder."
153,traits,"Regarding the peregrine falcon, it reaches extremely high speeds during its hunting stoop."
154,comparative,"Balaenoptera musculus is a filter-feeding carnivore, whereas Varanus komodoensis is a carnivore."
155,comparative,"Chelonia mydas has bilateral symmetry, whereas Euplectella aspergillum has asymmetrical symmetry."
156,taxonomy,"The freshwater planarian is an invertebrate, lacking a vertebral column."
157,reproduction,"Reproduction in the green hydra is mainly asexual budding, with sexual reproduction under stress."
158,ecology,"The emperor penguin is a carnivore that feeds on fish, squid, and krill."
159,comparative,"Unlike Carcharodon carcharias, which respires through gills, Drosophila melanogaster respires through a tracheal system."
160,comparative,"Iguana iguana has bilateral symmetry, whereas Euplectella aspergillum has asymmetrical symmetry."
161,physiology,"Gas exchange in the axolotl occurs through external gills, lungs, and skin."
162,comparative,"Architeuthis dux is ectothermic, whereas Falco peregrinus is endothermic."
163,comparative,"In contrast to the ectothermic Crocodylus niloticus, Mus musculus is endothermic."
164,concepts,"From a zoological perspective, model organisms are species that are extensively studied to understand general biological principles."
165,comparative,"Euplectella aspergillum excretes nitrogen mainly as ammonia, whereas Tursiops truncatus excretes it mainly as urea."
166,comparative,"Unlike Cornu aspersum, whose circulatory system is open, Rhinella marina has a circulatory system that is closed."
167,comparative,"Latimeria chalumnae has bilateral symmetry, whereas Euplectella aspergillum has asymmetrical symmetry."
168,comparative,"While Aptenodytes forsteri is a carnivore, Mus musculus is an omnivore."
169,comparative,"In contrast to the endothermic Myotis lucifugus, Petromyzon marinus is ectothermic."
170,physiology,The main nitrogenous waste excreted by the red kangaroo is urea.
171,comparative,"Unlike Tyto alba, which is a carnivore, Acropora cervicornis is a mixotroph."
172,traits,A notable feature of the axolotl is that it is a model organism in regeneration research.
173,comparative,"Unlike Octopus vulgaris, which respires through gills, Asterias rubens respires through tube feet and dermal branchiae."
174,comparative,"Iguana iguana is a herbivore, whereas Canis lupus is a carnivore."
175,concepts,"As a general principle, endoskeletons are internal support structures made of bone, cartilage, or calcareous ossicles."
176,comparative,"In contrast to the endothermic Aptenodytes forsteri, Rhinella marina is ectothermic."
177,comparative,"Unlike Chelonia mydas, which respires through lungs, Rhinella marina respires through lungs and skin."
178,concepts,"From a zoological perspective, the four-chambered heart of birds and mammals completely separates oxygenated and deoxygenated blood."
179,comparative,"Unlike Ophiophagus hannah, which excretes uric acid, Mytilus edulis excretes ammonia."
180,comparative,"Unlike Apis mellifera, which excretes uric acid, Carcharodon carcharias excretes urea."
181,comparative,"Unlike Mus musculus, which is endothermic, Strongylocentrotus purpuratus is ectothermic."
182,comparative,"Danio rerio excretes nitrogen mainly as ammonia, whereas Drosophila melanogaster excretes it mainly as uric acid."
183,comparative,"Acropora cervicornis has radial symmetry, whereas Tursiops truncatus has bilateral symmetry."
184,traits,"Regarding the blue mussel, it lacks a distinct head and radula."
185,comparative,"Giraffa camelopardalis excretes nitrogen mainly as urea, whereas Homarus americanus excretes it mainly as ammonia."
186,comparative,"Archilochus colubris has a circulatory system that is closed, whereas that of Limulus polyphemus is open."
187,physiology,"In Hypsibius exemplaris, circulation is open, with fluid in the body cavity."
188,ecology,"In terms of trophic ecology, Aptenodytes forsteri is a carnivore that feeds on fish, squid, and krill."
189,comparative,"Ophiophagus hannah is a carnivore, whereas Hypsibius exemplaris is a herbivore."
190,ecology,Varanus komodoensis is a carnivore found in dry grassland and tropical forest on Indonesian islands.
191,comparative,"In contrast to the ectothermic Acropora cervicornis, Tursiops truncatus is endothermic."
192,comparative,"Ophiophagus hannah excretes nitrogen mainly as uric acid, whereas Hydra viridissima excretes it mainly as ammonia."
193,comparative,"Balaenoptera musculus exchanges gases through lungs, whereas Hirudo medicinalis uses the body surface."
194,comparative,"Unlike Crocodylus niloticus, which is a carnivore, Danaus plexippus is a herbivore."
195,comparative,"Unlike Cornu aspersum, which excretes ammonia and uric acid, Latimeria chalumnae excretes urea."
196,physiology,The main nitrogenous waste excreted by the medicinal leech is ammonia.
197,comparative,"Unlike Octopus vulgaris, which respires through gills, Danaus plexippus respires through a tracheal system."
198,comparative,"Unlike Mytilus edulis, which is ectothermic, Panthera leo is endothermic."
199,taxonomy,The scientific name of the nematode Caenorhabditis elegans is Caenorhabditis elegans.
200,summary,"The red kangaroo is a endothermic member of the class Mammalia whose circulatory system is closed, with a four-chambered heart."
201,comparative,"Unlike Hippocampus abdominalis, which respires through gills, Ornithorhynchus anatinus respires through lungs."
202,comparative,"Schmidtea mediterranea excretes nitrogen mainly as ammonia, whereas Mus musculus excretes it mainly as urea."
203,physiology,The green hydra is ectothermic.
204,taxonomy,Caenorhabditis elegans is the binomial name for the nematode Caenorhabditis elegans.
205,comparative,"Unlike Tyto alba, which respires through lungs with air sacs, Lumbricus terrestris respires through the moist body surface."
206,comparative,"Unlike Drosophila melanogaster, which respires through a tracheal system, Balaenoptera musculus respires through lungs."
207,concepts,"From a zoological perspective, internal fertilization occurs when sperm are delivered into the female reproductive tract."
208,taxonomy,"The medicinal leech is an invertebrate, lacking a vertebral column."
209,comparative,"Unlike Giraffa camelopardalis, which respires through lungs, Asterias rubens respires through tube feet and dermal branchiae."
210,physiology,Struthio camelus eliminates nitrogen primarily as uric acid.
211,comparative,"Aptenodytes forsteri exchanges gases through lungs with air sacs, whereas Carcharodon carcharias uses gills."
212,comparative,"Gallus gallus is endothermic, whereas Apis mellifera is ectothermic."
213,comparative,"Varanus komodoensis exchanges gases through lungs, whereas Hypsibius exemplaris uses diffusion across the body surface."
214,comparative,"Unlike Caenorhabditis elegans, which is ectothermic, Giraffa camelopardalis is endothermic."
215,comparative,"Cornu aspersum excretes nitrogen mainly as ammonia and uric acid, whereas Hydra viridissima excretes it mainly as ammonia."
216,comparative,"Aptenodytes forsteri is endothermic, whereas Danaus plexippus is ectothermic."
217,comparative,"Octopus vulgaris excretes nitrogen mainly as ammonia, whereas Giraffa camelopardalis excretes it mainly as urea."
218,concepts,Thyroid hormones control metamorphosis in amphibians.
219,comparative,"Unlike Petromyzon marinus, which is ectothermic, Ursus maritimus is endothermic."
220,comparative,"Unlike Hypsibius exemplaris, which is a herbivore, Aurelia aurita is a carnivore."
221,comparative,"Unlike Ambystoma mexicanum, which respires through external gills, lungs, and skin, Varanus komodoensis respires through lungs."
222,concepts,"In comparative physiology, annelids are segmented worms with a true coelom."
223,comparative,"Carcharodon carcharias is regionally endothermic, whereas Falco peregrinus is endothermic."
224,comparative,"Danio rerio exchanges gases through gills, whereas Myotis lucifugus uses lungs."
225,comparative,"Varanus komodoensis excretes nitrogen mainly as uric acid, whereas Cornu aspersum excretes it mainly as ammonia and uric acid."
226,comparative,"Unlike Asterias rubens, which excretes ammonia, Gallus gallus excretes uric acid."
227,comparative,"Unlike Acropora cervicornis, which is a mixotroph, Pan troglodytes is an omnivore."
228,comparative,"Hydra viridissima has radial symmetry, whereas Latimeria chalumnae has bilateral symmetry."
229,comparative,"Unlike Falco peregrinus, which excretes uric acid, Octopus vulgaris excretes ammonia."
230,comparative,"Unlike Homarus americanus, which respires through gills, Panthera leo respires through lungs."
231,comparative,"Unlike Aptenodytes forsteri, which excretes uric acid, Hydra viridissima excretes ammonia."
232,comparative,"Unlike Lithobates catesbeianus, which respires through lungs, skin, and buccal lining, Latrodectus mactans respires through book lungs and tracheae."
233,comparative,"Homarus americanus exchanges gases through gills, whereas Ornithorhynchus anatinus uses lungs."
234,comparative,"Lithobates catesbeianus excretes nitrogen mainly as urea as an adult and ammonia as a larva, whereas Mytilus edulis excretes it mainly as ammonia."
235,comparative,"Unlike Ursus maritimus, which is endothermic, Schmidtea mediterranea is ectothermic."
236,summary,"The cane toad is a ectothermic member of the class Amphibia whose circulatory system is closed, with a three-chambered heart."
237,comparative,"In contrast to the endothermic Pan troglodytes, Salmo salar is ectothermic."
238,comparative,"Ornithorhynchus anatinus excretes nitrogen mainly as urea, whereas Varanus komodoensis excretes it mainly as uric acid."
239,comparative,"Latimeria chalumnae is a carnivore, whereas Iguana iguana is a herbivore."
240,comparative,"Unlike Drosophila melanogaster, which respires through a tracheal system, Tursiops truncatus respires through lungs."
241,physiology,The main nitrogenous waste excreted by the polar bear is urea.
242,concepts,"As a general principle, the surface-area-to-volume ratio decreases as body size increases, which affects heat exchange."
243,comparative,"Unlike Latimeria chalumnae, whose circulatory system is closed, Homarus americanus has a circulatory system that is open."
244,summary,"Hypsibius exemplaris, commonly known as the tardigrade, is a herbivore of the class Eutardigrada that respires using diffusion across the body surface."
245,comparative,"Latrodectus mactans is a carnivore, whereas Chelonia mydas is a herbivore."
246,comparative,"Unlike Myotis lucifugus, which is an insectivore, Asterias rubens is a carnivore."
247,comparative,"Ornithorhynchus anatinus exchanges gases through lungs, whereas Euplectella aspergillum uses diffusion driven by water currents."
248,comparative,"Schmidtea mediterranea exchanges gases through diffusion across the body surface, whereas Octopus vulgaris uses gills."
249,morphology,The body plan of Octopus vulgaris shows bilateral symmetry.
250,concepts,"As a general principle, echolocation involves emitting sounds and interpreting the returning echoes to locate objects."
251,comparative,"Asterias rubens belongs to the phylum Echinodermata, while Gallus gallus belongs to the phylum Chordata."
252,comparative,"Hydra viridissima has radial symmetry, whereas Canis lupus has bilateral symmetry."
253,ecology,"The garden snail inhabits gardens, hedgerows, and woodland."
254,comparative,"Salmo salar is ectothermic, whereas Balaenoptera musculus is endothermic."
255,comparative,"Unlike Petromyzon marinus, which respires through gills, Struthio camelus respires through lungs with air sacs."
256,comparative,"Unlike Hippocampus abdominalis, which excretes ammonia, Balaenoptera musculus excretes urea."
257,comparative,"Unlike Mytilus edulis, which excretes ammonia, Crocodylus niloticus excretes ammonia and uric acid."
258,comparative,"Unlike Osphranter rufus, which is a herbivore, Latimeria chalumnae is a carnivore."
259,comparative,"Acropora cervicornis excretes nitrogen mainly as ammonia, whereas Lithobates catesbeianus excretes it mainly as urea as an adult and ammonia as a larva."
260,concepts,"From a zoological perspective, the sinoatrial node acts as the pacemaker of the vertebrate heart."
261,comparative,"Unlike Tyto alba, which excretes uric acid, Osphranter rufus excretes urea."
262,comparative,"Unlike Danio rerio, which is an omnivore, Panthera leo is a carnivore."
263,comparative,"Unlike Caenorhabditis elegans, which is a bacterivore, Rhinella marina is a generalist predator."
264,physiology,"In Aptenodytes forsteri, circulation is closed, with a four-chambered heart."
265,traits,A notable feature of the emperor penguin is that males incubate the single egg on their feet under a brood pouch through the Antarctic winter.
266,ecology,The house mouse inhabits human-associated and agricultural habitats.
267,comparative,"Euplectella aspergillum has asymmetrical symmetry, whereas Balaenoptera musculus has bilateral symmetry."
268,taxonomy,"Within the class Clitellata, Lumbricus terrestris belongs to the order Crassiclitellata."
269,comparative,"Danio rerio has bilateral symmetry, whereas Cornu aspersum has asymmetrical due to torsion and coiling symmetry."
270,comparative,"Iguana iguana excretes nitrogen mainly as uric acid, whereas Limulus polyphemus excretes it mainly as ammonia."
271,comparative,"Asterias rubens belongs to the phylum Echinodermata, while Limulus polyphemus belongs to the phylum Arthropoda."
272,concepts,"From a zoological perspective, the surface-area-to-volume ratio decreases as body size increases, which affects heat exchange."
273,comparative,"Ornithorhynchus anatinus exchanges gases through lungs, whereas Archilochus colubris uses lungs with air sacs."
274,comparative,"Osphranter rufus is endothermic, whereas Schistocerca gregaria is ectothermic."
275,comparative,"Danaus plexippus is a herbivore, whereas Euplectella aspergillum is a filter feeder."
276,comparative,"Apis mellifera exchanges gases through a tracheal system, whereas Struthio camelus uses lungs with air sacs."
277,comparative,"Unlike Archilochus colubris, which excretes uric acid, Limulus polyphemus excretes ammonia."
278,comparative,"Latimeria chalumnae excretes nitrogen mainly as urea, whereas Aurelia aurita excretes it mainly as ammonia."
279,summary,"The peregrine falcon is a endothermic member of the class Aves whose circulatory system is closed, with a four-chambered heart."
280,comparative,"Salmo salar excretes nitrogen mainly as ammonia, whereas Canis lupus excretes it mainly as urea."
281,comparative,"While Hirudo medicinalis is a hematophage, Iguana iguana is a herbivore."
282,concepts,"As a general principle, hormones are chemical messengers secreted into the circulation that act on distant target cells."
283,traits,"Regarding the house mouse, it is one of the most widely used model organisms in genetics and biomedical research."
284,comparative,"Ursus maritimus exchanges gases through lungs, whereas Schistocerca gregaria uses a tracheal system."
285,comparative,"Unlike Hirudo medicinalis, whose circulatory system is closed, Homarus americanus has a circulatory system that is open."
286,comparative,"Loxodonta africana is endothermic, whereas Petromyzon marinus is ectothermic."
287,comparative,"While Tyto alba is a carnivore, Loxodonta africana is a herbivore."
288,comparative,"Cornu aspersum is a herbivore, whereas Architeuthis dux is a carnivore."
289,ecology,The typical habitat of Ophiophagus hannah is tropical forest and mangrove swamp.
290,comparative,"In contrast to the ectothermic Danio rerio, Carcharodon carcharias is regionally endothermic."
291,comparative,"Unlike Carcharodon carcharias, which is a carnivore, Cornu aspersum is a herbivore."
292,comparative,"Myotis lucifugus is endothermic, whereas Strongylocentrotus purpuratus is ectothermic."
293,reproduction,"The reproductive mode of Chelonia mydas can be described as oviparous, with temperature-dependent sex determination."
294,comparative,"Giraffa camelopardalis excretes nitrogen mainly as urea, whereas Euplectella aspergillum excretes it mainly as ammonia."
295,ecology,The typical habitat of Lumbricus terrestris is moist soil.
296,comparative,"Lithobates catesbeianus is a carnivore, whereas Danaus plexippus is a herbivore."
297,comparative,"In contrast to the endothermic Falco peregrinus, Asterias rubens is ectothermic."
298,physiology,Salmo salar eliminates nitrogen primarily as ammonia.
299,comparative,"Homarus americanus excretes nitrogen mainly as ammonia, whereas Apis mellifera excretes it mainly as uric acid."
300,comparative,"Unlike Aurelia aurita, which excretes ammonia, Latrodectus mactans excretes guanine and uric acid."
