id,category,sentence
35,comparative,"A convertible bond is a hybrid security, whereas an exchange-traded fund is a pooled investment vehicle."
36,calculations,"With a nominal return of 9% and inflation of 5%, the real return is about 3.81% using the exact Fisher relation."
37,calculations,"Discounting 47,000 pounds due in 5 years at an annual rate of 6% gives a present value of approximately 35,121.13 pounds."
38,calculations,"At a simple interest rate of 4% per year, a principal of 10,750 dollars earns 4,300.00 dollars in interest over 10 years."
39,calculations,"The future value of 28,000 dollars invested for 6 years at a 7% annual rate, compounded yearly, is about 42,020.45 dollars."
40,ratios,"In financial statement analysis, the net debt to EBITDA, defined as total debt minus cash, divided by EBITDA, indicates roughly how many years of operating earnings would be needed to repay net debt."
41,comparative,"The return on an interest rate swap comes from net exchanged interest payments, while the return on a mutual fund comes from distributions and changes in net asset value."
42,concepts,"From a financial perspective, present value is the current worth of a future cash flow discounted at an appropriate rate."
43,calculations,A nominal interest rate of 2% combined with 6% inflation implies a real interest rate of approximately -3.77%.
44,calculations,"With a nominal return of 9% and inflation of 2%, the real return is about 6.86% using the exact Fisher relation."
45,calculations,Net income of 974 million pounds divided by 326 million shares gives earnings per share of 2.99 pounds.
46,calculations,"Discounting 88,000 pounds due in 15 years at an annual rate of 6% gives a present value of approximately 36,719.33 pounds."
47,calculations,An annual dividend of 9.49 dollars on a share priced at 17 dollars gives a dividend yield of 55.82%.
48,concepts,Inflation is the general increase in prices and the fall in the purchasing power of money.
49,calculations,A nominal interest rate of 5% combined with 1% inflation implies a real interest rate of approximately 3.96%.
50,calculations,"If a 3% coupon bond with a 1,000 pounds face value trades at 990 pounds, its current yield is approximately 3.03%. The bond trades at a discount."
51,calculations,Net income of 962 million pounds divided by 98 million shares gives earnings per share of 9.82 pounds.
52,instruments,"Regarding the real estate investment trust, it allows investors to gain exposure to property without buying buildings directly."
53,calculations,"If a 3% coupon bond with a 1,000 pounds face value trades at 1,025 pounds, its current yield is approximately 2.93%. The bond trades at a premium."
54,concepts,"In finance, Modern portfolio theory was developed by Harry Markowitz in the 1950s."
55,calculations,"A company with 279 million shares outstanding at a price of 191.28 euros has a market capitalization of about 53,367.1 million euros."
56,ratios,The net profit margin is calculated as net income divided by revenue.
57,calculations,Net income of 59 million euros divided by 458 million shares gives earnings per share of 0.13 euros.
58,calculations,"With a nominal return of 6% and inflation of 1%, the real return is about 4.95% using the exact Fisher relation."
59,calculations,"If revenue changes from 8,300 to 12,035 thousand dollars, the percentage change is +45.0%."
60,comparative,"A forward contract is a derivative, whereas a mutual fund is a pooled investment vehicle."
61,comparative,"The return on a corporate bond comes from periodic coupon payments, while the return on a convertible bond comes from coupon payments plus the option to convert into shares."
62,calculations,"A company with 139 million shares outstanding at a price of 428.30 euros has a market capitalization of about 59,533.7 million euros."
63,calculations,"A bond with a face value of 1,000 dollars, a 4% annual coupon, and a price of 910 dollars has a current yield of about 4.40%. The bond trades at a discount."
64,calculations,"Simple interest on 5,500 pounds at 4% for 7 years amounts to 1,540.00 pounds."
65,calculations,"With a nominal return of 8% and inflation of 5%, the real return is about 2.86% using the exact Fisher relation."
66,calculations,Net income of 772 million euros divided by 239 million shares gives earnings per share of 3.23 euros.
67,calculations,"A bond with a face value of 1,000 dollars, a 4% annual coupon, and a price of 955 dollars has a current yield of about 4.19%. The bond trades at a discount."
68,calculations,"With annual compounding at 4%, 10,500 pounds becomes approximately 14,369.98 pounds in 8 years."
69,calculations,"Discounting 68,000 euros due in 9 years at an annual rate of 6% gives a present value of approximately 40,249.10 euros."
70,concepts,An annuity is a series of equal payments made at regular intervals.
71,calculations,"A loan of 100,000 dollars at a 5% annual rate, repaid monthly over 10 years, has a monthly payment of about 1,060.66 dollars."
72,comparative,"The return on a forward contract comes from gains or losses at settlement, while the return on a certificate of deposit comes from fixed interest."
73,calculations,"If revenue changes from 5,500 to 4,684 thousand dollars, the percentage change is -14.8%."
74,calculations,An annual dividend of 7.37 euros on a share priced at 194 euros gives a dividend yield of 3.80%.
75,calculations,"The future value of 20,500 dollars invested for 21 years at a 1% annual rate, compounded yearly, is about 25,264.03 dollars."
76,calculations,"If a 7% coupon bond with a 1,000 euros face value trades at 940 euros, its current yield is approximately 7.45%. The bond trades at a discount."
77,calculations,A share priced at 174 euros with earnings per share of 0.96 euros has a price-to-earnings ratio of about 181.2.
78,concepts,"From a financial perspective, commercial banks accept deposits and make loans."
79,concepts,"From a financial perspective, raising policy interest rates is a common tool used by central banks to reduce inflation."
80,comparative,"The return on a call option comes from payoff when the underlying price rises above the strike price, while the return on a forward contract comes from gains or losses at settlement."
81,calculations,"A company with current assets of 3,560 thousand pounds and current liabilities of 4,330 thousand pounds has a current ratio of 0.82."
82,calculations,"A loan of 75,000 euros at a 4% annual rate, repaid monthly over 3 years, has a monthly payment of about 2,214.30 euros."
83,concepts,"From a financial perspective, the effective annual rate accounts for the effect of compounding within a year."
84,comparative,"The return on a futures contract comes from gains or losses from price changes in the underlying asset, while the return on an interest rate swap comes from net exchanged interest payments."
85,comparative,"The return on a zero-coupon bond comes from the difference between the purchase price and face value, while the return on an exchange-traded fund comes from distributions and price changes."
86,calculations,"A company with 855 million shares outstanding at a price of 258.98 euros has a market capitalization of about 221,427.9 million euros."
87,comparative,"The return on a corporate bond comes from periodic coupon payments, while the return on a put option comes from payoff when the underlying price falls below the strike price."
88,calculations,"With a nominal return of 5% and inflation of 2.5%, the real return is about 2.44% using the exact Fisher relation."
89,calculations,"A bond with a face value of 1,000 pounds, a 4% annual coupon, and a price of 850 pounds has a current yield of about 4.71%. The bond trades at a discount."
90,calculations,"Net income of 13,400,000 euros on shareholders' equity of 152,100,000 euros corresponds to a return on equity of about 8.8%."
91,calculations,"If revenue changes from 1,200 to 1,227 thousand pounds, the percentage change is +2.2%."
92,calculations,An annual dividend of 1.24 euros on a share priced at 273 euros gives a dividend yield of 0.45%.
93,concepts,"From a financial perspective, a share buyback reduces the number of shares outstanding."
94,calculations,"An investment of 7,500 euros at 1.5% annual interest compounded annually grows to about 7,960.23 euros after 4 years."
95,calculations,"The monthly payment on a 20-year amortizing loan of 325,000 dollars at 3% annual interest is approximately 1,802.44 dollars."
96,comparative,"The return on a money market fund comes from short-term interest income, while the return on a call option comes from payoff when the underlying price rises above the strike price."
97,calculations,"A bond with a face value of 1,000 dollars, a 6% annual coupon, and a price of 965 dollars has a current yield of about 6.22%. The bond trades at a discount."
98,calculations,"A loan of 110,000 dollars at a 4% annual rate, repaid monthly over 25 years, has a monthly payment of about 580.62 dollars."
99,calculations,"A company with net income of 49,400,000 dollars and average equity of 175,500,000 dollars has a return on equity of 28.1%."
100,instruments,"Regarding the convertible bond, it usually pays a lower coupon than a comparable straight bond."
101,calculations,"An investment of 24,000 pounds at 5% annual interest compounded annually grows to about 30,630.76 pounds after 5 years."
102,calculations,"A company with net income of 35,400,000 pounds and average equity of 611,900,000 pounds has a return on equity of 5.8%."
103,comparative,"The return on a common stock comes from dividends and capital gains, while the return on a treasury bill comes from the discount between the purchase price and face value."
104,ratios,The dividend yield is calculated as annual dividends per share divided by the share price.
105,instruments,"In terms of risk, a forward contract carries counterparty risk and market risk."
106,calculations,"Simple interest on 11,500 euros at 2% for 6 years amounts to 1,380.00 euros."
107,comparative,"A common stock is an equity security, whereas a money market fund is a pooled investment vehicle."
108,instruments,"Regarding the preferred stock, its dividends must usually be paid before any dividends on common stock."
109,comparative,"The return on a mutual fund comes from distributions and changes in net asset value, while the return on a futures contract comes from gains or losses from price changes in the underlying asset."
110,calculations,"If a 5% coupon bond with a 1,000 euros face value trades at 1,005 euros, its current yield is approximately 4.98%. The bond trades at a premium."
111,calculations,"If revenue changes from 6,750 to 9,689 thousand dollars, the percentage change is +43.5%."
112,concepts,"In finance, the coupon rate is the annual interest payment expressed as a percentage of a bond's face value."
113,calculations,A share priced at 207 pounds with earnings per share of 0.92 pounds has a price-to-earnings ratio of about 225.0.
114,comparative,"A common stock is an equity security, whereas a corporate bond is a debt security."
115,calculations,An annual dividend of 7.39 dollars on a share priced at 205 dollars gives a dividend yield of 3.60%.
116,ratios,The interest coverage ratio is a solvency ratio.
117,calculations,"Simple interest on 1,500 dollars at 2% for 8 years amounts to 240.00 dollars."
118,calculations,"The present value of 43,000 euros received in 17 years, discounted at 6% per year, is about 15,968.67 euros."
119,calculations,"Simple interest on 11,750 pounds at 2% for 9 years amounts to 2,115.00 pounds."
120,calculations,"If revenue changes from 150 to 152 thousand euros, the percentage change is +1.3%."
121,calculations,"An asset whose price moves from 9,700 to 6,910 pounds has a return of -28.8%, excluding income."
122,concepts,"From a financial perspective, a perpetuity is a stream of equal cash flows that continues indefinitely."
123,calculations,"The present value of 3,000 pounds received in 14 years, discounted at 5% per year, is about 1,515.20 pounds."
124,comparative,"The return on a corporate bond comes from periodic coupon payments, while the return on a real estate investment trust comes from rental income distributions and price changes."
125,calculations,"With annual compounding at 2%, 31,000 dollars becomes approximately 32,252.40 dollars in 2 years."
126,calculations,"The future value of 25,500 pounds invested for 18 years at a 6% annual rate, compounded yearly, is about 72,785.65 pounds."
127,concepts,"From a financial perspective, an asset with a beta greater than one tends to move more than the market."
128,calculations,"A company with net income of 43,600,000 pounds and average equity of 409,900,000 pounds has a return on equity of 10.6%."
129,calculations,"With annual compounding at 1%, 1,000 pounds becomes approximately 1,257.16 pounds in 23 years."
130,ratios,The enterprise value to EBITDA measures a company's total value relative to its operating cash earnings.
131,ratios,The net debt to EBITDA measures roughly how many years of operating earnings would be needed to repay net debt.
132,calculations,"A company with net income of 43,300,000 dollars and average equity of 472,900,000 dollars has a return on equity of 9.2%."
133,calculations,"Net income of 45,200,000 dollars on shareholders' equity of 232,700,000 dollars corresponds to a return on equity of about 19.4%."
134,calculations,"If a 4% coupon bond with a 1,000 dollars face value trades at 875 dollars, its current yield is approximately 4.57%. The bond trades at a discount."
135,instruments,The convertible bond is classified as a hybrid security.
136,concepts,"In finance, unsystematic risk is specific to a company or industry and can be reduced through diversification."
137,calculations,"Simple interest on 5,250 dollars at 4% for 3 years amounts to 630.00 dollars."
138,concepts,"From a financial perspective, a stock split increases the number of shares outstanding without changing the company's market value."
139,comparative,"A mutual fund is a pooled investment vehicle, whereas a treasury bill is a money market instrument."
140,calculations,Net income of 234 million dollars divided by 167 million shares gives earnings per share of 1.40 dollars.
141,calculations,"A company with 628 million shares outstanding at a price of 491.67 dollars has a market capitalization of about 308,768.8 million dollars."
142,calculations,"A company with net income of 42,500,000 pounds and average equity of 470,600,000 pounds has a return on equity of 9.0%."
143,instruments,Investors in a forward contract face counterparty risk and market risk.
144,calculations,"The monthly payment on a 15-year amortizing loan of 40,000 pounds at 7% annual interest is approximately 359.53 pounds."
145,comparative,"The return on a forward contract comes from gains or losses at settlement, while the return on a real estate investment trust comes from rental income distributions and price changes."
146,calculations,Net income of 217 million pounds divided by 398 million shares gives earnings per share of 0.55 pounds.
147,calculations,"A company with net income of 12,100,000 euros and average equity of 103,800,000 euros has a return on equity of 11.7%."
148,calculations,Net income of 607 million dollars divided by 379 million shares gives earnings per share of 1.60 dollars.
149,calculations,"With annual compounding at 2%, 6,500 dollars becomes approximately 10,877.22 dollars in 26 years."
150,calculations,"A company with current assets of 3,790 thousand pounds and current liabilities of 660 thousand pounds has a current ratio of 5.74."
151,calculations,A share priced at 196 dollars with earnings per share of 7.38 dollars has a price-to-earnings ratio of about 26.6.
152,calculations,A nominal interest rate of 6% combined with 6% inflation implies a real interest rate of approximately 0.00%.
153,calculations,"An investment of 45,000 dollars at 4% annual interest compounded annually grows to about 102,544.56 dollars after 21 years."
154,instruments,Investors in an exchange-traded fund face risk that depends on its underlying index or holdings.
155,instruments,A key feature of a zero-coupon bond is that its price is especially sensitive to changes in interest rates.
156,calculations,"A company with current assets of 4,210 thousand dollars and current liabilities of 4,820 thousand dollars has a current ratio of 0.87."
157,concepts,"In economics and finance, the payback period is the time required for cumulative cash flows to recover the initial investment."
158,calculations,A nominal interest rate of 10% combined with 6% inflation implies a real interest rate of approximately 3.77%.
159,calculations,"At a simple interest rate of 6% per year, a principal of 18,250 euros earns 10,950.00 euros in interest over 10 years."
160,instruments,A mortgage-backed security is typically created by securitizing pools of home loans.
161,comparative,"A put option is a derivative, whereas a corporate bond is a debt security."
162,comparative,"A mortgage-backed security is an asset-backed security, whereas a preferred stock is a hybrid security."
163,calculations,"At a simple interest rate of 6% per year, a principal of 10,250 dollars earns 2,460.00 dollars in interest over 4 years."
164,comparative,"The return on a mortgage-backed security comes from principal and interest payments passed through from borrowers, while the return on a futures contract comes from gains or losses from price changes in the underlying asset."
165,concepts,"In finance, credit risk is the risk that a borrower fails to make required payments."
166,calculations,"A company with 925 million shares outstanding at a price of 405.96 pounds has a market capitalization of about 375,513.0 million pounds."
167,concepts,A stock split increases the number of shares outstanding without changing the company's market value.
168,concepts,"In economics and finance, a stock index tracks the performance of a selected group of shares."
169,concepts,"As a general principle, unsystematic risk is specific to a company or industry and can be reduced through diversification."
170,calculations,An annual dividend of 8.93 dollars on a share priced at 298 dollars gives a dividend yield of 3.00%.
171,calculations,"A company with current assets of 540 thousand dollars and current liabilities of 1,940 thousand dollars has a current ratio of 0.28."
172,calculations,"The monthly payment on a 10-year amortizing loan of 375,000 pounds at 3% annual interest is approximately 3,621.03 pounds."
173,calculations,"Net income of 25,800,000 pounds on shareholders' equity of 286,200,000 pounds corresponds to a return on equity of about 9.0%."
174,calculations,"Net income of 44,700,000 pounds on shareholders' equity of 427,100,000 pounds corresponds to a return on equity of about 10.5%."
175,calculations,"If a 2% coupon bond with a 1,000 dollars face value trades at 1,110 dollars, its current yield is approximately 1.80%. The bond trades at a premium."
176,instruments,A common stock is an equity security.
177,calculations,"A bond with a face value of 1,000 dollars, a 4% annual coupon, and a price of 1,060 dollars has a current yield of about 3.77%. The bond trades at a premium."
178,calculations,"Net income of 1,300,000 pounds on shareholders' equity of 11,100,000 pounds corresponds to a return on equity of about 11.7%."
179,calculations,"The monthly payment on a 25-year amortizing loan of 55,000 euros at 2% annual interest is approximately 233.12 euros."
180,calculations,"The present value of 42,000 dollars received in 14 years, discounted at 10% per year, is about 11,059.91 dollars."
181,calculations,Net income of 506 million dollars divided by 319 million shares gives earnings per share of 1.59 dollars.
182,calculations,"If earnings per share are 13.61 pounds and the share price is 119 pounds, the P/E ratio is approximately 8.7."
183,comparative,"The return on a money market fund comes from short-term interest income, while the return on a forward contract comes from gains or losses at settlement."
184,calculations,"If earnings per share are 5.56 pounds and the share price is 56 pounds, the P/E ratio is approximately 10.1."
185,calculations,Net income of 13 million dollars divided by 194 million shares gives earnings per share of 0.07 dollars.
186,calculations,A share priced at 263 euros with earnings per share of 10.55 euros has a price-to-earnings ratio of about 24.9.
187,concepts,"From a financial perspective, behavioral finance studies how psychological biases influence financial decisions."
188,calculations,"If revenue changes from 1,150 to 1,499 thousand euros, the percentage change is +30.3%."
189,calculations,"An asset whose price moves from 5,450 to 5,051 pounds has a return of -7.3%, excluding income."
190,concepts,Capital adequacy requirements oblige banks to hold capital in proportion to their risk-weighted assets.
191,calculations,"At a simple interest rate of 4% per year, a principal of 16,750 euros earns 6,030.00 euros in interest over 9 years."
192,calculations,"A company with 516 million shares outstanding at a price of 226.86 euros has a market capitalization of about 117,059.8 million euros."
193,concepts,"In economics and finance, dollar-cost averaging involves investing a fixed amount at regular intervals."
194,calculations,An annual dividend of 0.97 dollars on a share priced at 252 dollars gives a dividend yield of 0.38%.
195,calculations,"With annual compounding at 4%, 22,000 dollars becomes approximately 31,312.86 dollars in 9 years."
196,calculations,"Simple interest on 15,000 euros at 4% for 8 years amounts to 4,800.00 euros."
197,calculations,"Discounting 88,000 euros due in 12 years at an annual rate of 3% gives a present value of approximately 61,721.43 euros."
198,calculations,"At a simple interest rate of 3% per year, a principal of 6,500 dollars earns 1,365.00 dollars in interest over 7 years."
199,calculations,"If revenue changes from 7,400 to 9,833 thousand euros, the percentage change is +32.9%."
200,calculations,"The future value of 46,000 euros invested for 2 years at a 8% annual rate, compounded yearly, is about 53,654.40 euros."
201,concepts,"From a financial perspective, duration measures the sensitivity of a bond's price to changes in interest rates."
202,calculations,"A bond with a face value of 1,000 pounds, a 6% annual coupon, and a price of 1,060 pounds has a current yield of about 5.66%. The bond trades at a premium."
203,calculations,"If a 2% coupon bond with a 1,000 euros face value trades at 1,070 euros, its current yield is approximately 1.87%. The bond trades at a premium."
204,comparative,"A certificate of deposit is a time deposit, whereas a corporate bond is a debt security."
205,comparative,"A corporate bond is a debt security, whereas a put option is a derivative."
206,calculations,"A bond with a face value of 1,000 euros, a 5% annual coupon, and a price of 965 euros has a current yield of about 5.18%. The bond trades at a discount."
207,comparative,"The return on a forward contract comes from gains or losses at settlement, while the return on a preferred stock comes from fixed or floating dividends."
208,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a futures contract comes from gains or losses from price changes in the underlying asset."
209,calculations,An annual dividend of 6.72 euros on a share priced at 156 euros gives a dividend yield of 4.31%.
210,calculations,"The monthly payment on a 5-year amortizing loan of 210,000 dollars at 4.5% annual interest is approximately 3,915.03 dollars."
211,calculations,"Simple interest on 14,250 pounds at 2% for 5 years amounts to 1,425.00 pounds."
212,calculations,"If a 7% coupon bond with a 1,000 dollars face value trades at 1,145 dollars, its current yield is approximately 6.11%. The bond trades at a premium."
213,instruments,"In terms of risk, a certificate of deposit carries low risk."
214,calculations,"The future value of 16,000 pounds invested for 24 years at a 4% annual rate, compounded yearly, is about 41,012.87 pounds."
215,calculations,"Net income of 35,700,000 euros on shareholders' equity of 610,800,000 euros corresponds to a return on equity of about 5.8%."
216,calculations,"If revenue changes from 8,650 to 8,239 thousand dollars, the percentage change is -4.8%."
217,calculations,"A company with 372 million shares outstanding at a price of 317.68 pounds has a market capitalization of about 118,177.0 million pounds."
218,calculations,"The future value of 3,000 dollars invested for 22 years at a 1.5% annual rate, compounded yearly, is about 4,162.69 dollars."
219,calculations,"A company with 990 million shares outstanding at a price of 61.71 pounds has a market capitalization of about 61,092.9 million pounds."
220,calculations,"A company with current assets of 4,450 thousand euros and current liabilities of 2,180 thousand euros has a current ratio of 2.04."
221,comparative,"The return on a mutual fund comes from distributions and changes in net asset value, while the return on a common stock comes from dividends and capital gains."
222,calculations,"The monthly payment on a 25-year amortizing loan of 355,000 dollars at 4.5% annual interest is approximately 1,973.21 dollars."
223,calculations,A nominal interest rate of 3% combined with 5% inflation implies a real interest rate of approximately -1.90%.
224,concepts,"As a general principle, bond prices fall when market interest rates rise."
225,comparative,"The return on a convertible bond comes from coupon payments plus the option to convert into shares, while the return on a call option comes from payoff when the underlying price rises above the strike price."
226,calculations,"A company with current assets of 4,970 thousand dollars and current liabilities of 740 thousand dollars has a current ratio of 6.72."
227,instruments,The return on a forward contract comes from gains or losses at settlement.
228,calculations,"A loan of 180,000 euros at a 6% annual rate, repaid monthly over 5 years, has a monthly payment of about 3,479.90 euros."
229,calculations,A share priced at 166 pounds with earnings per share of 8.20 pounds has a price-to-earnings ratio of about 20.2.
230,calculations,"A company with net income of 12,600,000 dollars and average equity of 72,900,000 dollars has a return on equity of 17.3%."
231,calculations,"A company with current assets of 2,500 thousand dollars and current liabilities of 4,290 thousand dollars has a current ratio of 0.58."
232,calculations,Net income of 710 million dollars divided by 73 million shares gives earnings per share of 9.73 dollars.
233,comparative,"The return on a real estate investment trust comes from rental income distributions and price changes, while the return on a convertible bond comes from coupon payments plus the option to convert into shares."
234,calculations,"If revenue changes from 3,950 to 4,697 thousand pounds, the percentage change is +18.9%."
235,concepts,"In economics and finance, the coupon rate is the annual interest payment expressed as a percentage of a bond's face value."
236,concepts,Compound interest is interest calculated on both the initial principal and the accumulated interest.
237,calculations,"Net income of 18,700,000 pounds on shareholders' equity of 113,000,000 pounds corresponds to a return on equity of about 16.5%."
238,comparative,"A zero-coupon bond is a debt security, whereas a real estate investment trust is a pooled investment vehicle."
239,calculations,"If revenue changes from 8,300 to 7,396 thousand euros, the percentage change is -10.9%."
240,calculations,Net income of 832 million pounds divided by 268 million shares gives earnings per share of 3.10 pounds.
241,concepts,"As a general principle, credit risk is the risk that a borrower fails to make required payments."
242,comparative,"The return on a real estate investment trust comes from rental income distributions and price changes, while the return on an interest rate swap comes from net exchanged interest payments."
243,calculations,"Net income of 2,800,000 euros on shareholders' equity of 18,900,000 euros corresponds to a return on equity of about 14.8%."
244,calculations,"A company with 263 million shares outstanding at a price of 145.07 euros has a market capitalization of about 38,153.4 million euros."
245,concepts,"From a financial perspective, simple interest is calculated only on the original principal."
246,calculations,"If revenue changes from 300 to 222 thousand dollars, the percentage change is -26.0%."
247,calculations,"A company with current assets of 3,900 thousand pounds and current liabilities of 630 thousand pounds has a current ratio of 6.19."
248,calculations,"If a 4% coupon bond with a 1,000 euros face value trades at 915 euros, its current yield is approximately 4.37%. The bond trades at a discount."
249,calculations,"At a simple interest rate of 6% per year, a principal of 18,750 euros earns 2,250.00 euros in interest over 2 years."
250,calculations,"The monthly payment on a 30-year amortizing loan of 75,000 pounds at 5% annual interest is approximately 402.62 pounds."
251,calculations,"Simple interest on 4,250 euros at 4% for 5 years amounts to 850.00 euros."
252,comparative,"A common stock is an equity security, whereas an interest rate swap is a derivative."
253,instruments,A corporate bond is a debt security.
254,instruments,A put option is typically traded on exchanges and over the counter.
255,comparative,"The return on a call option comes from payoff when the underlying price rises above the strike price, while the return on a put option comes from payoff when the underlying price falls below the strike price."
256,calculations,Net income of 235 million pounds divided by 54 million shares gives earnings per share of 4.35 pounds.
257,calculations,An annual dividend of 8.08 euros on a share priced at 215 euros gives a dividend yield of 3.76%.
258,concepts,"From a financial perspective, a secondary market is where previously issued securities are traded between investors."
259,calculations,"A company with 574 million shares outstanding at a price of 242.20 euros has a market capitalization of about 139,022.8 million euros."
260,calculations,"A loan of 240,000 dollars at a 4% annual rate, repaid monthly over 15 years, has a monthly payment of about 1,775.25 dollars."
261,calculations,"A company with current assets of 1,820 thousand euros and current liabilities of 440 thousand euros has a current ratio of 4.14."
262,concepts,"In economics and finance, the time value of money states that a sum of money today is worth more than the same sum in the future."
263,calculations,"An asset whose price moves from 4,600 to 6,137 euros has a return of +33.4%, excluding income."
264,calculations,"Net income of 34,000,000 dollars on shareholders' equity of 566,300,000 dollars corresponds to a return on equity of about 6.0%."
265,calculations,"If earnings per share are 9.66 euros and the share price is 86 euros, the P/E ratio is approximately 8.9."
266,ratios,"In financial statement analysis, the net profit margin, defined as net income divided by revenue, indicates the share of revenue that becomes net profit."
267,calculations,An annual dividend of 6.08 pounds on a share priced at 39 pounds gives a dividend yield of 15.59%.
268,instruments,"Regarding the futures contract, a clearinghouse acts as the counterparty to both sides, reducing counterparty risk."
269,instruments,"Regarding the forward contract, unlike a futures contract, it is usually not marked to market daily."
270,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a convertible bond comes from coupon payments plus the option to convert into shares."
271,calculations,A share priced at 79 euros with earnings per share of 13.51 euros has a price-to-earnings ratio of about 5.8.
272,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a preferred stock comes from fixed or floating dividends."
273,calculations,"Discounting 30,000 dollars due in 2 years at an annual rate of 3% gives a present value of approximately 28,277.88 dollars."
274,calculations,"At a simple interest rate of 5% per year, a principal of 2,500 dollars earns 1,125.00 dollars in interest over 9 years."
275,calculations,"Net income of 36,200,000 dollars on shareholders' equity of 566,200,000 dollars corresponds to a return on equity of about 6.4%."
276,calculations,"The monthly payment on a 30-year amortizing loan of 290,000 euros at 5% annual interest is approximately 1,556.78 euros."
277,calculations,"A company with 83 million shares outstanding at a price of 325.53 euros has a market capitalization of about 27,019.0 million euros."
278,comparative,"The return on a preferred stock comes from fixed or floating dividends, while the return on a corporate bond comes from periodic coupon payments."
279,calculations,"Discounting 19,000 pounds due in 17 years at an annual rate of 6% gives a present value of approximately 7,055.92 pounds."
280,concepts,An asset with a beta greater than one tends to move more than the market.
281,calculations,"A company with current assets of 1,970 thousand pounds and current liabilities of 3,420 thousand pounds has a current ratio of 0.58."
282,comparative,"A convertible bond is a hybrid security, whereas a real estate investment trust is a pooled investment vehicle."
283,calculations,"A company with net income of 49,800,000 euros and average equity of 510,400,000 euros has a return on equity of 9.8%."
284,calculations,"The future value of 1,000 euros invested for 19 years at a 6% annual rate, compounded yearly, is about 3,025.60 euros."
285,concepts,"From a financial perspective, dollar-cost averaging involves investing a fixed amount at regular intervals."
286,concepts,Depreciation allocates the cost of a tangible asset over its useful life.
